Line #,Name,Description,Designator,Revision ID,Revision Status,Manufacturer 1,Manufacturer Part Number 1,Manufacturer Lifecycle 1,Supplier 1,Supplier Part Number 1,Supplier Unit Price 1,Supplier Subtotal 1
"","Capacitor 1µF +/-20% 10V 0402","Chip Capacitor, 1µF +/-20%, 10V, 0402, Thickness 0.6 mm","C34","CMP-001-00063-3","Up to date","Kyocera AVX","0402ZD105KAT2A","Volume Production","Newark","06M4041","0.029","0.116"
"","Capacitor 1µF +/-20% 10V 0402","Chip Capacitor, 1µF +/-20%, 10V, 0402, Thickness 0.6 mm","C35","CMP-001-00063-3","Up to date","Kyocera AVX","0402ZD105KAT2A","Volume Production","Newark","06M4041","0.029","0.116"
"","C0402C104K8PACTU","CAP CER 0.1UF 10V X5R 0402","C36","CMP-2008-02046-2","Up to date","KEMET","C0402C104K8PACTU","Volume Production","Newark","78H4791","0.007","0.014"
"","61900211121","CONN HEADER VERT 2POS 2.54MM","CN1","CMP-1502-00584-2","Out of date","Wurth Electronics","61900211121","Volume Production","Newark","16T0681","0.079","0.158"
"","61900211121","CONN HEADER VERT 2POS 2.54MM","CN2","CMP-1502-00584-2","Out of date","Wurth Electronics","61900211121","Volume Production","Newark","16T0681","0.079","0.158"
"","LTST-C230KRKT","LED RED CLEAR CHIP SMD","D1","CMP-22017-000041-1","Up to date","Vishay Lite-On","LTST-C230KRKT","Volume Production","Mouser","859-LTST-C230KRKT","0.16","0.48"
"","LTST-C230KRKT","LED RED CLEAR CHIP SMD","D2","CMP-22017-000041-1","Up to date","Vishay Lite-On","LTST-C230KRKT","Volume Production","Mouser","859-LTST-C230KRKT","0.16","0.48"
"","1N4007 SMD","Rectifier, 1Kv, 1A, Do-214Ac Rohs Compliant: Yes","D3","CMP-12389-000001-1","Up to date","Multicomp","1N4007 SMD","Not Recommended for New Design","","","",""
"","P6KE36ARLG","600 W Peak Power Transient Voltage Suppressor, 2-Pin Surmetic(TM) 40, Pb-Free, Tape and Reel","D4","CMP-1061-00690-1","Up to date","onsemi","P6KE36ARLG","Volume Production","","","",""
"","ESDA25P35-1U1M","TVS DIODE 22V 41V 1610","D5","CMP-004-00023-3","Up to date","STMicroelectronics","ESDA25P35-1U1M","Volume Production","Newark","12AC9615","0.091","0.091"
"","SMBJ28CA","TVS DIODE 28V 45.4V DO214AA","D6","CMP-08607-000057-1","Up to date","Littelfuse","SMBJ28CA","Volume Production","Arrow Electronics","SMBJ28CA","0.3393","1.02"
"","SS34-E3/57T","Diode Schottky 40 V 3A Surface Mount DO-214AB (SMC)","D7","","","","","","","","",""
"","SMCJ60A","Transient Voltage Suppression Diode, 60 V, -65 to 150 degC, 2-Pin DO-214AB (SMCJ), RoHS, Tape and Reel","D8","CMP-2000-07111-1","Up to date","Littelfuse","SMCJ6.0A","Volume Production","Arrow Electronics","SMCJ6.0A","0.2711","1.36"
"","SMCJ60A","Transient Voltage Suppression Diode, 60 V, -65 to 150 degC, 2-Pin DO-214AB (SMCJ), RoHS, Tape and Reel","D9","CMP-2000-07111-1","Up to date","Littelfuse","SMCJ6.0A","Volume Production","Arrow Electronics","SMCJ6.0A","0.2711","1.36"
"","SMCJ60A","Transient Voltage Suppression Diode, 60 V, -65 to 150 degC, 2-Pin DO-214AB (SMCJ), RoHS, Tape and Reel","D10","CMP-2000-07111-1","Up to date","Littelfuse","SMCJ6.0A","Volume Production","Arrow Electronics","SMCJ6.0A","0.2711","1.36"
"","SMBJ28CA","TVS DIODE 28V 45.4V DO214AA","D11","CMP-08607-000057-1","Up to date","Littelfuse","SMBJ28CA","Volume Production","Arrow Electronics","SMBJ28CA","0.3393","1.02"
"","SMCJ60A","Transient Voltage Suppression Diode, 60 V, -65 to 150 degC, 2-Pin DO-214AB (SMCJ), RoHS, Tape and Reel","D12","CMP-2000-07111-1","Up to date","Littelfuse","SMCJ6.0A","Volume Production","Arrow Electronics","SMCJ6.0A","0.2711","1.36"
"","SMBJ28CA","TVS DIODE 28V 45.4V DO214AA","D13","CMP-08607-000057-1","Up to date","Littelfuse","SMBJ28CA","Volume Production","Arrow Electronics","SMBJ28CA","0.3393","1.02"
"","APHHS1005CGCK","LED GREEN CLEAR CHIP SMD","D14","CMP-44529-000044-1","Up to date","Kingbright","APHHS1005CGCK","Volume Production","Digikey","754-1101-6-ND","0.26","0.26"
"","SMCJ60A","Transient Voltage Suppression Diode, 60 V, -65 to 150 degC, 2-Pin DO-214AB (SMCJ), RoHS, Tape and Reel","D15","CMP-2000-07111-1","Up to date","Littelfuse","SMCJ6.0A","Volume Production","Arrow Electronics","SMCJ6.0A","0.2711","1.36"
"","ESDALC5-1BM2","Single Line Low Capacitance Transil™, 5 V, -55 to 150 degC, 2-Pin SOD-882, RoHS, Tape and Reel","D16","CMP-004-00030-3","Up to date","STMicroelectronics","ESDALC5-1BM2","Not Recommended for New Design","Mouser","511-ESDALC5-1BM2","0.096","0.96"
"","ESDALC5-1BM2","Single Line Low Capacitance Transil™, 5 V, -55 to 150 degC, 2-Pin SOD-882, RoHS, Tape and Reel","D17","CMP-004-00030-3","Up to date","STMicroelectronics","ESDALC5-1BM2","Not Recommended for New Design","Mouser","511-ESDALC5-1BM2","0.096","0.96"
"","ESDALC5-1BM2","Single Line Low Capacitance Transil™, 5 V, -55 to 150 degC, 2-Pin SOD-882, RoHS, Tape and Reel","D18","CMP-004-00030-3","Up to date","STMicroelectronics","ESDALC5-1BM2","Not Recommended for New Design","Mouser","511-ESDALC5-1BM2","0.096","0.96"
"","ESDALC5-1BM2","Single Line Low Capacitance Transil™, 5 V, -55 to 150 degC, 2-Pin SOD-882, RoHS, Tape and Reel","D19","CMP-004-00030-3","Up to date","STMicroelectronics","ESDALC5-1BM2","Not Recommended for New Design","Mouser","511-ESDALC5-1BM2","0.096","0.96"
"","ESDALC5-1BM2","Single Line Low Capacitance Transil™, 5 V, -55 to 150 degC, 2-Pin SOD-882, RoHS, Tape and Reel","D20","CMP-004-00030-3","Up to date","STMicroelectronics","ESDALC5-1BM2","Not Recommended for New Design","Mouser","511-ESDALC5-1BM2","0.096","0.96"
"","ESDALC5-1BM2","Single Line Low Capacitance Transil™, 5 V, -55 to 150 degC, 2-Pin SOD-882, RoHS, Tape and Reel","D21","CMP-004-00030-3","Up to date","STMicroelectronics","ESDALC5-1BM2","Not Recommended for New Design","Mouser","511-ESDALC5-1BM2","0.096","0.96"
"","ESDALC5-1BM2","Single Line Low Capacitance Transil™, 5 V, -55 to 150 degC, 2-Pin SOD-882, RoHS, Tape and Reel","D22","CMP-004-00030-3","Up to date","STMicroelectronics","ESDALC5-1BM2","Not Recommended for New Design","Mouser","511-ESDALC5-1BM2","0.096","0.96"
"","ESDALC5-1BM2","Single Line Low Capacitance Transil™, 5 V, -55 to 150 degC, 2-Pin SOD-882, RoHS, Tape and Reel","D23","CMP-004-00030-3","Up to date","STMicroelectronics","ESDALC5-1BM2","Not Recommended for New Design","Mouser","511-ESDALC5-1BM2","0.096","0.96"
"","LTST-C230KRKT","LED RED CLEAR CHIP SMD","DS1","CMP-22017-000041-1","Up to date","Vishay Lite-On","LTST-C230KRKT","Volume Production","Mouser","859-LTST-C230KRKT","0.16","0.48"
"","TLMS1100-GS08","Red Led, 20mA, 2.1 V, -40 to 100 degC, 2-Pin SMD (0603), RoHS, Tape and Reel","DS2","CMP-007-00030-2","Up to date","Vishay","TLMS1100-GS08","Unknown","","","",""
"","TLMS1100-GS08","Red Led, 20mA, 2.1 V, -40 to 100 degC, 2-Pin SMD (0603), RoHS, Tape and Reel","DS3","CMP-007-00030-2","Up to date","Vishay","TLMS1100-GS08","Unknown","","","",""
"","TLMS1100-GS08","Red Led, 20mA, 2.1 V, -40 to 100 degC, 2-Pin SMD (0603), RoHS, Tape and Reel","DS4","CMP-007-00030-2","Up to date","Vishay","TLMS1100-GS08","Unknown","","","",""
"","TLMS1100-GS08","Red Led, 20mA, 2.1 V, -40 to 100 degC, 2-Pin SMD (0603), RoHS, Tape and Reel","DS5","CMP-007-00030-2","Up to date","Vishay","TLMS1100-GS08","Unknown","","","",""
"","TLMS1100-GS08","Red Led, 20mA, 2.1 V, -40 to 100 degC, 2-Pin SMD (0603), RoHS, Tape and Reel","DS6","CMP-007-00030-2","Up to date","Vishay","TLMS1100-GS08","Unknown","","","",""
"","TLMS1100-GS08","Red Led, 20mA, 2.1 V, -40 to 100 degC, 2-Pin SMD (0603), RoHS, Tape and Reel","DS7","CMP-007-00030-2","Up to date","Vishay","TLMS1100-GS08","Unknown","","","",""
